,x,d1,d2,d3,d4,d5,w1,w2,w3,w4,w5,c1,c2,c3,c4,c5,c6,p,none_s,image_s,announce_s,image_sound_s,image_announce_s
0,1,6.2937,1.9398,6.7618,3.07992,5.72156,36.96507,25.87807,21.29791,21.00362,14.88221,20,30,29,21,10,6,3,9.6667,18.9333,22.2,22.0,21.0
1,2,11.0338,6.1047,7.2883,7.54295,9.90751,25.40064,16.89495,16.52988,16.46094,11.70966,20,21,14,8,12,21,3,18.0,18.0,18.0,18.0,18.0
2,3,7.1932,2.1034,4.9684,5.66562,8.38533,29.94836,20.88529,19.59672,20.50303,14.87523,21,19,18,16,18,15,4,14.8,14.8,16.4,15.7333,20.5333
3,4,7.8981,-0.9757,4.2858,3.84009,4.87743,26.8772,18.93591,16.00807,17.58007,11.67031,21,31,28,16,17,11,4,13.6667,20.2667,23.4,19.7333,22.7333
4,5,9.7256,0.0349,7.168,3.90703,6.30194,43.20713,28.51156,24.68393,25.27235,19.50599,28,27,23,24,24,23,5,8.6667,26.4667,27.4667,25.0667,28.1333
5,6,4.9113,1.488,3.0357,4.70687,6.26354,26.34567,23.30003,23.58674,17.89807,9.89196,25,27,16,11,22,22,3,14.1333,20.7333,19.8667,15.1333,23.8667
6,7,3.709,1.2411,3.3565,4.09427,5.14641,16.93376,11.2633,11.01992,10.97396,7.80644,31,19,5,15,5,11,2,18.0,18.0,18.0,18.0,18.0
7,8,3.1754,1.3641,3.3319,4.16365,5.05283,25.82371,17.81762,17.10696,16.27116,12.0221,19,21,28,23,26,18,4,19.3333,18.2,19.0667,17.6667,18.7333
8,9,1.9358,1.4126,1.6634,3.83981,4.92601,25.9436,19.05583,16.4897,17.84628,13.22421,8,18,32,27,20,18,4,17.2667,17.8667,18.5333,18.1333,20.9333
9,10,5.5759,1.6478,4.8206,4.75078,7.57213,14.84609,11.11535,10.21123,9.15072,5.86369,19,30,31,18,20,21,5,18.0,16.4,18.2667,16.4,18.9333
10,11,11.2152,-0.0281,7.2976,2.97328,5.82015,41.47728,27.95262,24.61538,25.81867,17.99568,20,19,29,27,24,18,2,12.1333,27.3333,28.8,23.6667,25.2667
11,12,9.4364,0.1152,6.7718,4.23545,5.70141,28.60618,25.04275,15.88711,17.95078,11.57588,22,34,28,19,25,19,5,16.6667,22.8,25.7333,19.8,25.2
12,13,11.0338,6.1047,7.2883,7.54295,9.90751,25.40064,16.89495,16.52988,16.46094,11.70966,18,20,28,22,24,12,3,14.8,20.9333,20.8,20.9333,20.6
13,14,3.5283,2.3139,3.2333,4.18517,5.2309,22.7092,15.76695,15.72699,15.6604,10.98438,17,24,30,19,23,15,3,16.4,17.6667,18.0,18.0,19.7333
14,15,3.208,2.3115,7.6254,5.6419,7.59495,31.81118,27.72612,21.77918,20.69237,7.34165,24,28,22,19,14,10,4,11.8667,21.2,17.1333,18.0,20.3333
15,16,7.1979,3.1578,5.4769,4.67814,7.07351,25.68948,17.7761,16.78791,17.17793,12.54394,14,21,32,20,13,14,3,18.0,18.3333,18.6667,21.6667,20.2667
16,17,4.7634,1.7512,3.5468,3.75658,5.80966,28.51113,12.42138,12.92084,10.67754,9.88917,21,18,40,16,16,12,5,15.4667,19.9333,21.2667,19.8667,21.2
17,18,7.5174,-0.1418,3.4024,4.24343,5.06133,19.16032,12.15799,14.9868,12.96742,9.1692,15,23,28,27,15,13,5,7.3333,17.4667,15.9333,16.2,21.2
18,19,3.709,1.2411,3.3565,4.09427,5.14641,34.22936,21.19332,19.74197,21.06964,14.88209,21,27,26,26,16,14,4,13.3333,21.0,25.0,23.3333,25.7333
19,20,7.1046,3.7344,5.3101,5.8533,7.48017,25.40064,16.89495,16.52988,16.46094,11.70966,15,15,15,23,13,17,2,18.0,18.0,18.0,18.0,18.0
20,21,8.0338,-1.3835,2.5089,3.2199,7.49223,15.94732,10.46271,8.74369,10.65953,5.24104,29,29,18,13,24,16,5,14.0,26.6,22.0,25.9333,25.2667
21,22,3.2333,0.3183,3.0553,3.72689,6.36858,16.86697,12.96003,7.81919,9.42415,7.09625,24,35,30,19,16,11,3,10.0667,20.6,17.4667,20.4667,21.1333
22,23,7.2402,-0.5438,4.9685,3.50006,8.07715,23.62424,18.25767,12.55394,14.35029,10.45974,28,29,27,17,15,20,4,14.8,21.7333,18.7333,18.7333,21.5333
23,24,6.1992,1.8364,3.2197,3.3105,5.0639,22.23699,18.64516,14.36461,14.35057,10.99122,24,36,30,20,18,6,3,10.0,17.5333,18.7333,24.3333,25.3333
24,25,3.6809,4.6971,6.7048,4.03011,9.35327,22.61325,16.92386,12.92796,11.79772,7.82124,22,31,18,24,16,5,4,14.8,17.4667,16.6,16.5333,17.6667
25,26,7.3402,0.5217,4.8136,2.46789,5.48143,19.76761,13.97806,15.72307,15.17452,10.79192,19,21,21,36,21,12,4,17.0667,17.4667,17.9333,18.6667,17.2667
26,27,6.4186,2.5941,5.1755,4.39422,6.37855,25.40064,16.89495,16.52988,16.46094,11.70966,15,17,17,18,21,14,2,14.8,14.8,15.1333,16.6,15.7333
27,28,10.3303,3.9597,7.1445,6.6348,8.38151,24.45697,20.43883,17.64056,15.44967,12.13694,25,29,30,21,10,5,2,17.6,18.8,19.0,20.6,19.5333
28,29,1.4204,0.7808,2.591,3.96974,5.0123,23.4823,17.476,17.91716,15.60597,11.2676,19,17,27,23,21,10,4,9.0,19.0,18.4667,18.8,19.8667
29,30,6.0043,1.6302,4.2606,5.70364,5.48043,8.5206,6.81609,5.48749,5.57572,3.96384,19,30,19,13,19,27,5,14.4,13.2667,10.0667,15.7333,10.6
30,31,9.5315,0.4201,6.8229,2.11463,5.86608,42.7271,26.17389,26.36388,25.0963,19.2141,12,20,28,17,23,25,5,14.8,24.8,30.0,24.3333,24.3333
31,32,4.1359,0.1694,1.321,2.93938,4.3204,22.57982,16.88658,12.05032,11.90432,7.06939,25,33,22,13,11,12,4,18.0,20.3333,25.2667,18.5333,23.0667
32,33,3.0471,-0.8066,3.4866,2.54958,3.97575,17.50018,11.13775,10.55516,10.69377,7.59318,16,20,21,23,20,19,3,18.0,22.3333,22.0,22.0,22.3333
33,34,7.4574,5.5953,6.2773,7.03843,8.18501,18.34553,11.31914,12.16216,11.94344,8.68403,22,26,12,28,19,18,5,18.2667,22.2667,19.8,19.8,19.0667
34,35,6.6637,1.44,4.3149,4.62139,5.4197,20.4118,13.70617,14.08719,13.69368,8.44658,25,26,19,19,11,6,2,17.9333,16.4,18.3333,17.4667,16.8
35,36,1.0075,1.3439,2.5615,3.5397,4.28851,26.23617,18.92944,17.92372,21.12106,12.14729,18,22,30,28,11,11,4,19.6,20.7333,19.4667,15.6667,19.9333
36,37,6.5269,3.3075,5.1905,5.18311,7.52083,21.21966,15.33609,15.7747,13.30935,11.00945,16,17,15,22,20,22,3,16.5333,17.6,17.6,16.7333,17.9333
37,38,4.0691,2.004,3.5157,5.04579,5.59197,21.38331,17.27703,12.31763,13.07752,10.01101,21,25,9,9,14,14,3,11.7333,20.0667,20.8,16.0,22.2667
38,39,8.192,0.5198,7.1919,3.3075,6.23578,29.14021,22.70097,16.60656,17.77413,14.96669,24,29,24,16,18,10,3,15.4,19.9333,18.8,21.0,20.9333
39,40,9.4704,3.8338,5.3366,4.69835,7.58593,20.40696,17.96603,13.80316,15.43011,7.95094,10,21,30,25,17,4,3,14.8,19.4,16.5333,20.0,18.9333
40,41,3.5239,2.2172,4.0254,5.01174,6.0687,29.32109,20.67084,19.70098,18.96367,13.97045,18,15,7,11,19,17,5,16.9333,20.0,18.0,18.2,17.7333
41,42,7.5099,1.4407,5.4894,4.16985,6.49667,27.69008,20.06615,18.86466,18.07895,12.99739,30,28,33,26,13,10,5,14.0,22.0,20.6667,21.6667,21.0
42,43,3.2292,0.4336,3.2697,3.31922,4.8188,25.40064,16.89495,16.52988,16.46094,11.70966,30,22,14,17,6,3,2,18.0,18.0,18.0,18.0,18.0
43,44,7.1546,0.7547,7.1652,2.4558,5.70539,24.65012,15.74327,12.17891,9.85602,9.9925,32,32,19,20,11,16,4,14.8,19.2,26.9333,23.6,27.0
44,45,6.8679,2.8092,3.9441,5.71914,7.17479,22.1518,16.12195,15.44199,13.88144,10.23095,30,28,22,19,16,29,2,18.0,18.0,18.0,18.0,18.0
45,46,10.0353,0.1783,7.5027,2.80872,4.38101,42.3344,28.15825,27.5498,27.4349,19.5161,22,22,27,35,19,10,4,8.6667,30.0,30.0,30.0,30.0
46,47,7.3132,-1.2177,2.8801,3.07101,4.13369,18.6318,16.03072,10.73055,13.58369,8.77219,15,25,20,28,16,20,4,16.8667,18.4667,21.3333,16.6,23.8667
47,48,6.8073,3.189,5.0159,4.5454,6.58911,20.66207,16.1964,16.2487,14.94301,9.26181,21,22,18,19,17,6,4,14.8,19.6,16.4,17.4667,21.3333
