視角写真,視角三次元,言語映像,言語抽象,聴覚言語,聴覚音
20,30,29,21,10,6
19,20,14,8,13,24
21,19,18,16,18,15
21,31,28,16,17,13
28,27,23,24,24,25
25,27,16,11,22,22
30,18,5,15,6,12
19,21,28,23,26,18
8,18,32,27,20,18
19,30,31,18,20,21
19,18,29,27,25,19
22,34,28,19,25,19
18,20,28,22,24,12
17,24,30,19,23,15
24,28,22,19,14,10
14,21,32,20,13,14
21,18,40,16,16,12
15,23,28,27,15,13
21,27,26,26,16,14
14,14,15,23,14,18
29,29,18,13,24,16
24,35,30,19,16,11
28,29,27,17,15,20
23,35,30,20,19,7
21,30,18,24,17,6
19,21,21,36,21,12
15,17,17,18,21,14
24,28,30,21,11,6
18,16,27,23,22,11
18,29,19,13,20,28
12,20,28,17,23,25
25,33,22,13,11,12
16,20,21,23,20,19
21,25,12,28,20,19
24,25,19,19,12,7
18,22,30,28,11,11
16,17,15,22,20,22
20,24,9,9,15,15
23,28,24,16,19,11
10,21,30,25,17,4
17,14,7,11,20,20
30,28,33,26,13,10
29,21,14,17,7,4
31,31,19,20,12,17
30,28,22,19,16,29
22,22,27,35,19,10
15,25,20,28,16,20
21,22,18,19,17,6
21,16,29,16,22,19
23,15,21,17,14,10
23,31,12,24,16,14
22,29,28,27,19,15
27,30,13,20,15,15
24,26,30,19,19,20
21,29,36,17,34,16
29,32,24,24,23,9
19,22,27,24,18,14
23,21,20,26,13,2
14,25,31,25,20,20
25,26,27,16,11,15
13,12,28,23,22,18
23,28,29,15,16,20
20,29,31,13,16,12
38,35,19,19,5,5
18,21,24,22,15,15
12,20,21,21,25,11
16,19,24,30,13,24
23,30,25,25,12,13
25,30,24,21,19,21
20,23,27,27,24,18
26,17,10,7,9,18
20,29,27,30,16,18
24,25,11,6,9,9
17,29,32,20,15,10
22,22,35,18,21,12
34,35,23,24,7,6
18,19,19,22,13,12
24,27,17,16,17,9
19,22,20,11,12,15
22,24,24,21,25,17
36,23,19,15,6,10
28,18,17,24,14,10
13,27,32,20,21,13
22,23,31,20,28,13
32,42,18,23,9,14
18,41,30,24,18,16
28,24,25,20,16,6
19,18,17,25,11,14
