percentiles_1,percentiles_2,percentiles_3,percentiles_4,percentiles_5,iqr_1,iqr_2,iqr_3,iqr_4,iqr_5,std_1,std_2,std_3,std_4,std_5
1,3,3,0,2,1,3,3,0,2,2,3,3,1,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,3,3,3,2,2,3,3,3,2,2,3,3,3
2,1,0,2,1,2,1,0,2,1,3,2,1,2,1
3,3,3,2,2,3,3,3,2,2,3,3,3,2,2
0,1,2,3,3,0,1,2,3,3,1,1,2,3,3
0,1,2,2,1,0,1,2,2,1,1,1,2,3,2
0,1,2,3,1,0,1,2,3,1,1,1,2,3,2
0,0,2,3,1,0,0,2,3,1,0,0,2,3,2
1,2,2,3,3,1,2,2,3,3,2,2,3,3,3
3,3,2,0,1,3,3,2,0,1,3,3,2,0,2
3,3,2,1,2,3,3,1,1,1,3,3,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,1,3,2,2,0,1,3,2,2,1,1,3,3,2
0,3,2,3,3,0,3,2,3,3,0,3,2,3,3
2,3,3,2,3,2,3,3,2,3,2,3,3,2,3
1,1,2,1,2,1,1,2,1,2,1,2,2,2,2
2,1,1,3,1,2,1,1,3,1,2,1,2,3,2
0,1,2,2,1,0,1,2,2,1,1,1,2,3,2
2,2,3,3,3,2,2,3,3,3,2,3,3,3,3
3,0,0,2,3,3,0,0,2,3,3,1,1,2,3
0,0,1,2,3,0,0,1,2,3,1,1,1,3,3
2,2,0,1,3,2,2,0,2,3,3,2,1,2,3
1,1,3,1,1,1,1,3,1,1,2,1,3,2,2
0,3,3,1,3,0,3,3,1,3,1,3,3,2,3
2,2,2,0,1,2,2,2,0,1,3,2,2,1,2
2,2,3,2,2,2,2,3,2,2,2,3,3,2,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,0,1,3,2,0,0,1,3,1,0,1,2,3,2
1,1,2,3,2,1,1,2,3,2,1,2,2,3,3
3,3,2,0,2,3,3,2,0,1,3,3,2,0,2
0,0,1,1,0,0,0,1,1,0,1,0,2,2,1
0,1,0,1,0,0,1,0,1,0,1,1,1,2,1
2,3,3,3,3,2,3,3,3,3,2,3,3,3,3
2,2,3,2,2,2,1,3,2,1,2,2,3,3,2
0,0,1,2,0,0,0,1,2,0,0,1,2,2,1
1,2,3,3,3,1,2,3,3,3,2,3,3,3,3
0,1,3,3,2,0,1,3,3,1,1,1,3,3,2
3,3,3,1,2,3,3,3,1,2,3,3,3,1,2
3,2,3,2,3,3,2,3,2,3,3,3,3,2,3
0,1,3,3,2,0,1,3,3,2,1,2,3,3,2
2,2,3,2,3,2,2,3,2,3,2,3,3,2,3
0,0,1,2,0,0,0,1,2,0,1,1,2,2,1
2,3,3,0,2,2,3,3,0,2,3,3,3,0,2
1,1,3,3,3,1,1,3,3,3,2,2,3,3,3
3,3,3,0,0,3,3,3,0,0,3,3,3,1,1
2,0,1,1,0,2,0,1,1,0,2,1,1,2,1
1,2,3,2,3,1,2,3,2,3,2,3,3,2,3
3,2,1,3,3,3,2,1,3,3,3,2,1,3,3
3,3,3,0,3,3,3,3,0,3,3,3,3,0,3
3,3,3,2,3,3,3,3,2,3,3,3,3,2,3
1,2,3,2,3,1,2,3,2,3,2,2,3,2,3
3,3,3,0,3,3,3,3,0,3,3,3,3,0,3
2,0,0,3,3,2,0,0,3,3,3,1,1,3,3
1,2,3,3,3,1,2,3,3,3,2,2,3,3,3
2,0,0,3,1,2,0,0,3,1,2,1,1,3,2
2,2,2,2,1,2,2,2,2,1,2,2,3,2,2
1,1,1,1,2,1,1,1,1,2,2,1,2,2,2
1,3,3,0,0,1,3,3,0,0,2,3,3,0,1
1,2,3,2,3,1,2,3,2,3,2,2,3,2,3
0,1,3,3,2,0,1,3,3,2,1,2,3,3,2
2,3,3,3,3,2,3,3,3,3,2,3,3,3,3
2,1,2,1,1,2,1,2,1,1,2,1,2,1,1
0,1,2,3,1,0,1,2,3,1,1,1,2,3,2
2,1,2,0,2,2,1,2,0,2,3,2,2,1,2
2,2,3,3,3,2,2,3,3,3,2,2,3,3,3
1,0,2,1,3,1,0,2,1,3,2,1,3,2,3
3,3,1,1,0,3,3,1,1,0,3,3,2,1,1
2,2,1,1,3,2,2,1,1,3,2,3,2,1,3
2,2,3,3,3,2,2,3,3,3,2,2,3,3,3
0,0,0,2,0,0,0,0,2,0,0,0,0,2,0
2,0,0,1,1,2,0,0,1,1,2,0,1,2,1
1,1,3,3,3,1,1,3,3,3,1,1,3,3,3
2,3,3,0,1,2,3,3,0,1,2,3,3,0,2
3,0,2,1,3,3,0,2,2,3,3,1,2,2,3
2,3,1,2,1,2,3,1,2,1,2,3,1,2,1
1,2,3,3,3,1,2,3,3,3,2,2,3,3,3
2,3,2,0,0,2,3,2,0,0,2,3,2,1,0
0,1,2,2,1,0,1,2,2,1,0,1,2,3,2
1,1,1,1,0,1,1,1,1,0,2,2,2,2,1
2,3,3,1,3,2,3,3,1,3,3,3,3,1,3
1,1,0,1,3,1,1,0,1,3,1,1,1,2,3
1,1,2,0,1,1,1,2,0,1,2,2,2,1,2
3,3,1,3,2,3,3,1,3,2,3,3,1,3,2
3,3,3,1,3,3,3,3,1,3,3,3,3,1,3
0,0,2,1,1,0,0,2,1,1,0,1,2,1,2
1,2,2,2,3,1,2,2,2,3,1,2,2,2,3
2,2,2,2,0,2,2,2,2,0,2,2,2,2,0
3,0,2,3,3,3,0,2,3,3,3,1,2,3,3
2,3,1,2,3,2,3,1,2,3,2,3,2,2,3
1,1,0,2,2,1,1,0,2,2,1,2,1,2,2
1,3,3,3,2,1,3,3,3,2,2,3,3,3,2
2,3,1,0,0,2,3,1,0,0,2,3,2,0,0
0,0,0,3,1,0,0,0,3,1,0,1,1,3,2
2,1,0,0,0,2,1,0,0,0,2,2,1,1,1
2,3,3,1,3,2,3,3,1,3,2,3,3,2,3
0,0,0,2,2,0,0,0,2,2,1,1,1,2,2
1,0,0,2,2,1,0,0,2,2,1,1,1,2,2
2,3,1,0,0,2,3,1,0,0,3,3,2,0,1
2,2,3,1,1,2,2,3,1,1,2,2,3,2,1
3,0,1,3,3,3,0,1,3,3,3,1,1,3,3
2,1,1,2,0,2,1,1,2,0,2,2,2,2,1
3,0,0,2,3,3,0,0,2,3,3,1,1,2,3
0,3,1,3,2,0,3,1,3,2,1,3,1,3,2
0,1,1,1,2,0,1,1,1,2,1,1,1,1,2
1,1,2,2,1,1,1,2,2,1,2,1,2,2,2
1,2,0,3,3,1,2,0,3,3,2,3,1,3,3
1,0,1,0,0,1,0,1,0,0,1,1,1,1,1
3,0,0,2,1,3,0,0,2,1,3,1,1,2,1
0,1,2,3,1,0,1,2,3,1,1,1,2,3,2
1,2,3,2,3,1,2,3,2,3,2,3,3,2,3
1,2,3,1,1,1,2,3,1,1,1,2,3,2,2
3,3,2,3,1,3,3,2,3,1,3,3,2,3,2
1,3,3,0,3,1,3,3,0,3,2,3,3,0,3
1,3,3,2,3,1,3,3,2,3,2,3,3,2,3
3,1,2,0,1,3,1,2,0,1,3,2,2,1,2
2,0,1,0,0,2,0,1,0,0,3,1,1,1,1
0,0,0,3,3,0,0,0,3,3,1,1,1,3,3
3,3,2,3,3,3,3,2,3,3,3,3,2,3,3
1,1,1,1,0,1,1,1,1,0,1,1,2,2,0
1,3,1,1,3,1,3,1,1,3,2,3,2,2,3
3,3,1,1,2,3,3,1,1,2,3,3,1,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,0,1,3,1,0,0,1,3,1,1,1,2,3,2
0,0,1,3,1,0,0,1,3,1,1,1,2,3,2
1,2,1,1,2,1,1,1,1,2,2,2,1,2,2
1,2,3,2,3,1,2,3,2,3,1,3,3,3,3
3,2,2,3,3,3,2,2,3,3,3,2,2,3,3
2,1,2,1,0,2,1,2,1,0,2,2,2,2,1
2,0,0,3,3,2,0,0,3,3,2,1,0,3,3
0,1,2,3,1,0,1,2,3,1,1,1,2,3,2
0,0,1,0,0,0,0,1,0,0,1,1,2,1,0
0,0,3,3,3,0,0,3,3,3,1,1,3,3,3
2,1,1,2,1,2,1,1,2,1,2,1,1,2,1
1,0,0,3,2,1,0,0,3,1,1,0,1,3,2
2,1,3,3,3,1,1,3,3,3,2,1,3,3,3
0,0,2,3,2,0,0,1,3,2,1,1,2,3,3
1,0,1,2,2,1,0,1,2,2,1,1,1,2,2
0,0,0,3,1,0,0,0,3,1,1,1,0,3,1
1,2,3,1,3,1,2,3,1,3,2,2,3,2,3
1,2,3,0,1,1,2,3,0,1,1,2,3,1,1
0,3,3,0,2,0,3,3,0,2,1,3,3,1,2
2,3,2,1,3,2,3,2,1,3,2,3,2,1,3
1,1,1,2,0,1,1,1,2,0,1,2,2,2,1
0,0,0,2,0,0,0,0,2,0,1,0,1,3,1
3,3,3,0,3,3,3,3,0,3,3,3,3,1,3
0,2,1,2,0,0,2,1,2,0,1,2,1,3,1
1,3,1,0,2,1,3,1,0,2,2,3,2,1,2
2,1,0,2,0,2,1,0,2,0,2,1,1,3,1
2,3,1,2,1,2,3,1,2,1,2,3,2,3,2
2,1,0,1,0,2,1,0,1,0,2,2,1,1,1
2,0,0,2,2,2,0,0,2,1,3,0,1,3,2
2,3,2,0,2,2,3,2,0,2,2,3,2,0,3
3,3,0,2,2,3,3,0,2,2,3,3,1,2,2
0,1,2,2,1,0,1,2,2,1,0,2,3,2,1
2,2,0,3,2,2,2,0,3,2,2,2,1,3,2
0,1,2,3,1,0,1,2,3,1,1,1,2,3,2
0,1,2,1,0,0,1,2,1,0,1,2,2,2,1
0,2,2,1,2,0,2,2,1,2,1,2,2,2,2
2,2,3,3,3,2,2,3,3,3,2,3,3,3,3
0,2,2,2,2,0,2,2,2,2,0,2,2,3,2
2,2,0,3,2,2,1,0,3,2,2,2,1,3,2
1,3,3,2,2,1,3,3,2,2,1,3,3,3,3
0,1,1,3,3,0,1,1,3,3,1,2,2,3,3
2,2,3,1,2,2,2,3,1,2,2,3,3,2,2
0,0,1,3,2,0,0,1,3,2,1,1,1,3,2
0,1,1,1,0,0,1,1,1,0,1,2,2,1,0
2,2,2,0,1,2,1,2,0,1,2,2,2,1,1
3,0,1,3,2,3,0,1,3,2,3,1,1,3,2
2,0,0,3,1,2,0,0,3,1,2,0,0,3,2
2,0,1,1,1,2,0,1,1,1,2,1,1,1,2
3,3,3,1,3,3,3,3,1,3,3,3,3,2,3
0,0,0,1,1,0,0,0,1,1,1,1,1,2,2
0,1,3,3,2,0,1,3,3,2,1,2,3,3,2
2,3,3,3,3,2,3,3,3,3,3,3,3,3,3
2,2,1,0,1,2,2,1,0,1,2,3,1,0,1
2,0,0,1,1,2,0,0,1,1,3,0,1,2,2
1,1,1,2,3,1,1,1,2,3,2,2,1,3,3
1,2,3,2,3,1,2,3,2,3,1,2,3,3,3
0,1,2,3,1,0,1,2,3,1,1,1,2,3,2
0,3,2,0,2,0,3,2,0,1,1,3,3,1,2
0,3,3,0,3,0,3,3,0,3,1,3,3,1,3
0,2,0,2,1,0,2,0,2,1,1,2,1,2,2
3,1,1,1,1,3,1,1,1,1,3,1,2,1,2
1,0,0,3,3,1,0,0,3,3,2,1,1,3,3
0,1,3,3,3,0,1,3,3,3,0,2,3,3,3
1,0,0,2,0,1,0,0,2,0,1,1,1,2,1
3,1,1,3,2,3,1,1,3,2,3,1,2,3,2
0,3,1,2,0,0,3,1,2,0,1,3,1,3,1
0,0,1,2,3,0,0,1,2,3,1,1,1,2,3
1,2,3,0,2,1,1,3,0,2,1,2,3,1,2
2,3,0,3,2,2,3,0,3,2,3,3,0,3,2
1,2,2,2,3,1,1,2,2,3,1,2,2,2,3
0,1,2,0,0,0,1,2,0,0,1,2,2,1,1
0,2,3,3,2,0,2,3,3,2,1,2,3,3,2
1,0,1,2,3,1,0,1,2,3,2,1,1,2,3
2,0,0,2,3,2,0,0,2,3,2,1,1,2,3
1,1,1,2,3,1,1,1,2,3,2,2,2,2,3
0,0,2,3,0,0,0,2,3,0,1,1,2,3,1
1,1,0,2,2,1,1,0,2,2,2,2,1,2,2
0,1,2,3,1,0,1,2,3,1,1,1,2,3,2
1,0,0,3,3,1,0,0,3,3,2,1,1,3,3
3,3,2,0,0,3,3,2,0,0,3,3,2,1,1
0,1,2,3,1,0,1,2,3,1,1,1,2,3,2
1,0,0,3,2,1,0,0,3,2,2,1,1,3,2
1,0,0,2,1,1,0,0,2,1,1,1,1,3,1
0,1,0,1,0,0,1,0,1,0,1,2,1,2,1
2,1,1,2,3,2,1,1,2,3,3,2,2,2,3
2,1,1,3,2,2,1,1,3,2,2,2,1,3,2
0,2,2,2,1,0,2,2,2,1,0,2,2,2,2
1,0,1,3,2,1,0,1,3,1,1,0,1,3,2
0,0,2,3,3,0,0,2,3,3,1,1,3,3,3
0,0,3,2,3,0,0,3,2,3,1,1,3,2,3
3,2,1,1,3,3,2,1,1,3,3,2,2,2,3
1,2,3,1,1,1,2,3,1,1,1,3,3,2,2
3,3,1,1,3,3,3,1,1,3,3,3,1,1,3
1,0,3,3,0,1,0,3,3,0,1,1,3,3,0
0,0,1,2,0,0,0,1,2,0,1,1,1,2,1
3,0,1,2,1,3,0,1,2,1,3,1,1,2,2
2,2,3,2,3,2,2,3,2,3,2,2,3,3,3
1,2,3,0,2,1,2,3,0,2,2,2,3,1,3
1,0,2,1,3,1,0,2,1,3,2,1,2,2,3
0,1,1,2,1,0,1,1,2,1,1,1,1,2,1
2,0,0,1,1,2,0,0,1,1,2,1,1,2,2
0,1,3,0,2,0,1,3,0,2,1,1,3,1,2
0,1,0,3,1,0,1,0,3,1,1,2,1,3,2
