,0,1,2,3,4
0,1.75,3.1,3.55,3.6,3.55
1,3.0,3.0,3.0,3.0,3.0
2,2.4,2.4,2.7,2.6,3.5
3,2.15,3.4,3.85,3.3,3.55
4,1.8,4.05,4.2,3.8,4.7
5,2.5,3.45,3.2,2.65,3.7
6,3.0,3.0,3.0,3.0,3.0
7,3.2,3.05,3.2,3.05,3.15
8,2.75,3.0,2.9,3.0,3.4
9,3.0,2.7,3.1,2.6,3.2
10,2.0,4.6,4.5,4.05,4.35
11,2.6,3.5,3.9,3.05,3.8
12,2.4,3.5,3.4,3.5,3.35
13,2.7,2.95,3.0,3.0,3.2
14,1.9,3.3,3.05,3.2,3.15
15,3.0,3.05,3.1,3.55,3.4
16,2.5,3.35,3.65,3.4,3.5
17,1.6,3.0,2.75,2.75,3.4
18,2.4,3.45,3.95,3.7,4.1
19,3.0,3.0,3.0,3.0,3.0
20,2.2,4.05,3.3,3.95,3.85
21,1.85,3.45,2.9,3.45,3.55
22,2.4,3.6,3.25,3.25,3.35
23,1.6,2.75,3.25,4.05,4.2
24,2.4,3.0,2.65,2.8,2.95
25,2.8,2.9,3.05,3.3,2.95
26,2.4,2.4,2.55,2.65,2.6
27,2.9,3.2,3.25,3.45,3.15
28,1.75,3.25,3.15,3.2,3.2
29,2.5,2.35,1.75,2.7,1.85
30,2.4,4.1,4.6,4.15,4.15
31,3.0,3.35,3.95,3.1,3.6
32,3.0,3.65,3.6,3.6,3.65
33,3.1,3.5,3.35,3.45,3.1
34,2.95,2.7,2.95,3.0,2.8
35,3.2,3.45,3.4,2.45,3.45
36,2.7,3.0,2.9,3.05,2.95
37,1.9,3.35,3.4,2.6,3.7
38,2.65,3.15,3.1,3.25,3.6
39,2.4,3.05,2.7,3.3,3.0
40,2.9,3.3,2.9,3.05,3.0
41,2.2,3.6,3.5,3.55,3.55
42,3.0,3.0,3.0,3.0,3.0
43,2.4,2.8,4.1,3.7,4.15
44,3.0,3.0,3.0,3.0,3.0
45,1.4,4.6,4.6,4.6,4.6
46,2.75,2.85,3.5,2.75,3.8
47,2.4,3.3,2.4,2.9,3.6
48,1.8,4.0,4.45,4.05,4.45
49,3.0,3.0,3.0,3.0,3.0
50,1.8,2.1,2.6,3.1,4.1
51,3.0,2.9,3.75,2.85,4.0
52,2.4,3.75,3.35,3.55,3.65
